样本ID,评审批次,概念,动作,核心卡,候选结果,语义符合度（1-5）,动作贡献度（1-5）,核心卡一致性（1-5）,无需规则说明可理解（1-5）,拒绝是否恰当（是/否/不适用）,备注,评审者ID
S001,1,火,扩散,豪杰,护盾（shield）,,,,,,,
S002,1,影,压缩,王权,打断意图（cancel_intent）,,,,,,,
S003,1,铁,扩散,豪杰,伤害（damage）,,,,,,,
S004,1,铁,扩散,豪杰,拒绝生成,,,,,,,
S005,1,种,扩散,王权,治疗（heal）,,,,,,,
S006,1,火,扩散,王权,伤害（damage）,,,,,,,
S007,1,火,压缩,王权,护盾（shield）,,,,,,,
S008,1,水,扩散,豪杰,拒绝生成,,,,,,,
S009,1,铁,压缩,豪杰,护盾（shield）,,,,,,,
S010,1,影,扩散,王权,打断意图（cancel_intent）,,,,,,,
S011,1,种,扩散,豪杰,治疗（heal）,,,,,,,
S012,1,光,扩散,王权,护盾（shield）,,,,,,,
S013,1,铁,扩散,王权,伤害（damage） + 护盾（shield）,,,,,,,
S014,1,光,扩散,豪杰,拒绝生成,,,,,,,
S015,1,砂,压缩,王权,拒绝生成,,,,,,,
S016,1,火,压缩,豪杰,伤害（damage）,,,,,,,
S017,1,气,采集,豪杰,打断意图（cancel_intent）,,,,,,,
S018,1,光,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S019,1,种,扩散,王权,治疗（heal）,,,,,,,
S020,1,水,压缩,豪杰,拒绝生成,,,,,,,
S021,1,气,压缩,豪杰,伤害（damage）,,,,,,,
S022,1,影,压缩,王权,拒绝生成,,,,,,,
S023,1,水,采集,王权,拒绝生成,,,,,,,
S024,1,种,压缩,豪杰,治疗（heal）,,,,,,,
S025,1,铁,采集,豪杰,护盾（shield）,,,,,,,
S026,1,砂,采集,豪杰,护盾（shield）,,,,,,,
S027,1,水,采集,王权,拒绝生成,,,,,,,
S028,1,光,压缩,豪杰,伤害（damage）,,,,,,,
S029,1,水,采集,豪杰,治疗（heal）,,,,,,,
S030,1,砂,扩散,豪杰,拒绝生成,,,,,,,
S031,1,种,压缩,王权,治疗（heal）,,,,,,,
S032,1,光,采集,豪杰,护盾（shield）,,,,,,,
S033,1,铁,扩散,王权,护盾（shield）,,,,,,,
S034,1,砂,采集,王权,护盾（shield）,,,,,,,
S035,1,影,压缩,王权,护盾（shield）,,,,,,,
S036,1,水,扩散,豪杰,拒绝生成,,,,,,,
S037,1,气,采集,豪杰,拒绝生成,,,,,,,
S038,1,砂,扩散,豪杰,伤害（damage）,,,,,,,
S039,1,气,压缩,豪杰,伤害（damage）,,,,,,,
S040,1,水,采集,豪杰,打断意图（cancel_intent）,,,,,,,
S041,2,种,采集,王权,治疗（heal）,,,,,,,
S042,2,砂,采集,豪杰,拒绝生成,,,,,,,
S043,2,水,压缩,王权,拒绝生成,,,,,,,
S044,2,光,采集,豪杰,治疗（heal）,,,,,,,
S045,2,种,压缩,豪杰,护盾（shield） + 治疗（heal）,,,,,,,
S046,2,影,采集,王权,打断意图（cancel_intent）,,,,,,,
S047,2,种,扩散,王权,治疗（heal）,,,,,,,
