组ID,评审批次,概念,核心卡,动作1,动作1候选结果,动作2,动作2候选结果,动作3,动作3候选结果,动作区分度（1-5）,差异是否可预测（是/否）,最符合语义的动作,备注,评审者ID
A001,1,影,王权,压缩,打断意图（cancel_intent）,扩散,打断意图（cancel_intent）,采集,打断意图（cancel_intent）,,,,,
A002,1,水,豪杰,压缩,拒绝生成,扩散,打断意图（cancel_intent）,采集,拒绝生成,,,,,
A003,1,影,豪杰,压缩,打断意图（cancel_intent）,扩散,打断意图（cancel_intent）,采集,打断意图（cancel_intent）,,,,,
A004,1,水,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A005,1,光,王权,压缩,护盾（shield）,扩散,护盾（shield）,采集,护盾（shield）,,,,,
A006,1,铁,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A007,1,砂,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A008,1,光,豪杰,压缩,伤害（damage）,扩散,伤害（damage）,采集,治疗（heal）,,,,,
A009,1,水,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A010,1,光,王权,压缩,治疗（heal）,扩散,治疗（heal）,采集,治疗（heal）,,,,,
A011,1,影,豪杰,压缩,伤害（damage） + 打断意图（cancel_intent）,扩散,打断意图（cancel_intent）,采集,打断意图（cancel_intent）,,,,,
A012,1,铁,王权,压缩,伤害（damage） + 护盾（shield）,扩散,伤害（damage）,采集,拒绝生成,,,,,
A013,1,砂,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A014,1,光,豪杰,压缩,护盾（shield）,扩散,护盾（shield）,采集,护盾（shield）,,,,,
A015,1,火,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A016,1,种,豪杰,压缩,治疗（heal）,扩散,治疗（heal）,采集,治疗（heal）,,,,,
A017,1,气,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A018,1,砂,王权,压缩,护盾（shield）,扩散,拒绝生成,采集,护盾（shield）,,,,,
A019,1,砂,王权,压缩,拒绝生成,扩散,伤害（damage）,采集,拒绝生成,,,,,
A020,1,火,王权,压缩,护盾（shield）,扩散,护盾（shield）,采集,拒绝生成,,,,,
A021,2,砂,豪杰,压缩,护盾（shield）,扩散,拒绝生成,采集,护盾（shield）,,,,,
A022,2,种,豪杰,压缩,治疗（heal）,扩散,治疗（heal）,采集,治疗（heal）,,,,,
A023,2,气,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A024,2,气,王权,压缩,伤害（damage）,扩散,打断意图（cancel_intent）,采集,拒绝生成,,,,,
A025,2,砂,王权,压缩,护盾（shield）,扩散,打断意图（cancel_intent）,采集,护盾（shield）,,,,,
A026,2,水,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A027,2,铁,王权,压缩,护盾（shield）,扩散,伤害（damage） + 护盾（shield）,采集,护盾（shield）,,,,,
A028,2,种,王权,压缩,护盾（shield） + 治疗（heal）,扩散,治疗（heal）,采集,治疗（heal）,,,,,
A029,2,气,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A030,2,种,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A031,2,铁,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A032,2,种,王权,压缩,护盾（shield） + 治疗（heal）,扩散,治疗（heal）,采集,治疗（heal）,,,,,
A033,2,光,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A034,2,光,王权,压缩,护盾（shield）,扩散,拒绝生成,采集,治疗（heal）,,,,,
A035,2,铁,豪杰,压缩,伤害（damage）,扩散,伤害（damage）,采集,治疗（heal）,,,,,
A036,2,水,豪杰,压缩,伤害（damage）,扩散,打断意图（cancel_intent）,采集,打断意图（cancel_intent）,,,,,
A037,2,火,王权,压缩,护盾（shield）,扩散,拒绝生成,采集,拒绝生成,,,,,
A038,2,砂,豪杰,压缩,伤害（damage）,扩散,伤害（damage）,采集,治疗（heal）,,,,,
A039,2,水,王权,压缩,拒绝生成,扩散,伤害（damage）,采集,拒绝生成,,,,,
A040,2,种,豪杰,压缩,护盾（shield） + 治疗（heal）,扩散,治疗（heal）,采集,治疗（heal）,,,,,
A041,3,气,豪杰,压缩,伤害（damage）,扩散,打断意图（cancel_intent）,采集,伤害（damage）,,,,,
A042,3,影,王权,压缩,护盾（shield）,扩散,打断意图（cancel_intent）,采集,护盾（shield）,,,,,
A043,3,铁,王权,压缩,护盾（shield）,扩散,伤害（damage）,采集,拒绝生成,,,,,
A044,3,气,豪杰,压缩,伤害（damage）,扩散,打断意图（cancel_intent）,采集,伤害（damage） + 打断意图（cancel_intent）,,,,,
A045,3,铁,豪杰,压缩,护盾（shield）,扩散,伤害（damage）,采集,护盾（shield）,,,,,
A046,3,水,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,治疗（heal）,,,,,
A047,3,火,豪杰,压缩,伤害（damage）,扩散,伤害（damage）,采集,伤害（damage）,,,,,
A048,3,光,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A049,3,水,王权,压缩,伤害（damage） + 护盾（shield）,扩散,拒绝生成,采集,治疗（heal）,,,,,
A050,3,气,豪杰,压缩,伤害（damage）,扩散,伤害（damage）,采集,伤害（damage）,,,,,
A051,3,影,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A052,3,种,豪杰,压缩,护盾（shield） + 治疗（heal）,扩散,治疗（heal）,采集,治疗（heal）,,,,,
A053,3,火,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A054,3,铁,豪杰,压缩,伤害（damage） + 护盾（shield）,扩散,伤害（damage）,采集,拒绝生成,,,,,
A055,3,光,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,治疗（heal）,,,,,
A056,3,火,豪杰,压缩,护盾（shield）,扩散,护盾（shield）,采集,拒绝生成,,,,,
A057,3,铁,王权,压缩,护盾（shield）,扩散,护盾（shield）,采集,护盾（shield）,,,,,
A058,3,水,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A059,3,种,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A060,3,影,王权,压缩,打断意图（cancel_intent）,扩散,打断意图（cancel_intent）,采集,打断意图（cancel_intent）,,,,,
A061,4,气,王权,压缩,伤害（damage）,扩散,伤害（damage）,采集,拒绝生成,,,,,
A062,4,水,豪杰,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A063,4,火,豪杰,压缩,伤害（damage） + 护盾（shield）,扩散,打断意图（cancel_intent）,采集,治疗（heal）,,,,,
A064,4,气,豪杰,压缩,伤害（damage）,扩散,打断意图（cancel_intent）,采集,打断意图（cancel_intent）,,,,,
A065,4,种,王权,压缩,护盾（shield） + 治疗（heal）,扩散,治疗（heal）,采集,治疗（heal）,,,,,
A066,4,影,豪杰,压缩,打断意图（cancel_intent）,扩散,打断意图（cancel_intent）,采集,打断意图（cancel_intent）,,,,,
A067,4,气,王权,压缩,伤害（damage） + 打断意图（cancel_intent）,扩散,打断意图（cancel_intent）,采集,拒绝生成,,,,,
A068,4,光,豪杰,压缩,伤害（damage） + 护盾（shield）,扩散,打断意图（cancel_intent）,采集,护盾（shield）,,,,,
A069,4,火,王权,压缩,伤害（damage）,扩散,伤害（damage） + 打断意图（cancel_intent）,采集,伤害（damage）,,,,,
A070,4,种,王权,压缩,治疗（heal）,扩散,治疗（heal）,采集,治疗（heal）,,,,,
A071,4,影,豪杰,压缩,护盾（shield）,扩散,打断意图（cancel_intent）,采集,打断意图（cancel_intent）,,,,,
A072,4,砂,王权,压缩,拒绝生成,扩散,伤害（damage）,采集,拒绝生成,,,,,
A073,4,火,王权,压缩,伤害（damage）,扩散,伤害（damage）,采集,伤害（damage）,,,,,
A074,4,砂,豪杰,压缩,护盾（shield）,扩散,打断意图（cancel_intent）,采集,护盾（shield）,,,,,
A075,4,影,王权,压缩,打断意图（cancel_intent）,扩散,打断意图（cancel_intent）,采集,打断意图（cancel_intent）,,,,,
A076,4,砂,豪杰,压缩,拒绝生成,扩散,伤害（damage）,采集,拒绝生成,,,,,
A077,4,影,王权,压缩,拒绝生成,扩散,拒绝生成,采集,拒绝生成,,,,,
A078,4,光,王权,压缩,护盾（shield）,扩散,护盾（shield）,采集,拒绝生成,,,,,
A079,4,火,豪杰,压缩,伤害（damage）,扩散,伤害（damage）,采集,伤害（damage）,,,,,
A080,4,铁,豪杰,压缩,护盾（shield）,扩散,拒绝生成,采集,护盾（shield）,,,,,
